# t(min) G(mM) I(pM)
104.0000 15.4040 378.1818
105.0000 15.3182 376.8182
106.0000 15.2323 375.4545
107.0000 15.1465 374.0909
108.0000 15.0606 372.7273
109.0000 14.9747 371.3636
110.0000 14.8889 370.0000
111.0000 14.7475 367.0909
112.0000 14.6061 364.1818
113.0000 14.4646 361.2727
114.0000 14.3232 358.3636
115.0000 14.1818 355.4545
116.0000 14.0404 352.5455
117.0000 13.8990 349.6364
118.0000 13.7576 346.7273
119.0000 13.6162 343.8182
120.0000 13.4747 340.9091
121.0000 13.3333 338.0000
122.0000 13.2323 333.6364
123.0000 13.1313 329.2727
124.0000 13.0303 324.9091
125.0000 12.9293 320.5455
126.0000 12.8283 316.1818
127.0000 12.7273 311.8182
128.0000 12.6263 307.4545
129.0000 12.5253 303.0909
130.0000 12.4242 298.7273
131.0000 12.3232 294.3636
132.0000 12.2222 290.0000
133.0000 12.1414 285.4545
134.0000 12.0606 280.9091
135.0000 11.9798 276.3636
136.0000 11.8990 271.8182
137.0000 11.8182 267.2727
138.0000 11.7374 262.7273
139.0000 11.6566 258.1818
140.0000 11.5758 253.6364
141.0000 11.4949 249.0909
142.0000 11.4141 244.5455
143.0000 11.3333 240.0000
144.0000 11.3030 236.3636
145.0000 11.2727 232.7273
146.0000 11.2424 229.0909
147.0000 11.2121 225.4545
148.0000 11.1818 221.8182
149.0000 11.1515 218.1818
150.0000 11.1212 214.5455
151.0000 11.0909 210.9091
152.0000 11.0606 207.2727
153.0000 11.0303 203.6364
154.0000 11.0000 200.0000
155.0000 10.9596 197.2727
156.0000 10.9192 194.5455
157.0000 10.8788 191.8182
158.0000 10.8384 189.0909
159.0000 10.7980 186.3636
160.0000 10.7576 183.6364
161.0000 10.7172 180.9091
162.0000 10.6768 178.1818
163.0000 10.6364 175.4545
164.0000 10.5960 172.7273
165.0000 10.5556 170.0000
166.0000 10.5051 167.8182
167.0000 10.4545 165.6364
168.0000 10.4040 163.4545
169.0000 10.3535 161.2727
170.0000 10.3030 159.0909
171.0000 10.2525 156.9091
172.0000 10.2020 154.7273
173.0000 10.1515 152.5455
174.0000 10.1010 150.3636
175.0000 10.0505 148.1818
176.0000 10.0000 146.0000
177.0000 9.9495 143.6364
178.0000 9.8990 141.2727
179.0000 9.8485 138.9091
180.0000 9.7980 136.5455
181.0000 9.7475 134.1818
182.0000 9.6970 131.8182
183.0000 9.6465 129.4545
184.0000 9.5960 127.0909
185.0000 9.5455 124.7273
186.0000 9.4949 122.3636
187.0000 9.4444 120.0000
188.0000 9.3838 118.5455
189.0000 9.3232 117.0909
190.0000 9.2626 115.6364
191.0000 9.2020 114.1818
192.0000 9.1414 112.7273
193.0000 9.0808 111.2727
194.0000 9.0202 109.8182
195.0000 8.9596 108.3636
196.0000 8.8990 106.9091
197.0000 8.8384 105.4545
198.0000 8.7778 104.0000
199.0000 8.7374 102.2727
200.0000 8.6970 100.5455
201.0000 8.6566 98.8182
202.0000 8.6162 97.0909
203.0000 8.5758 95.3636
204.0000 8.5354 93.6364
205.0000 8.4949 91.9091
206.0000 8.4545 90.1818
207.0000 8.4141 88.4545
208.0000 8.3737 86.7273
209.0000 8.3333 85.0000
